# Blade spanwise distribution
# Source     : data_library/tidal_blade_radial_source.tsv (interpolated).
# Convention : SI units (m, deg, 1/m). Dimensionless = "-".
# Datum      : first row z = 0 at first tabulated station; radial r (hub) there is 1.375 m.
#              r/R and z/L are root-to-tip 0 to 1.
# Notes      : twist beta is structural built twist / washout (not angle of attack or pitch DOF).
#              naca_series: 4=four-digit, 5=five-digit, 6=six-series.
#              naca_m for 6-series is the family (e.g. 63 / 64); naca_p = design Cl*10; naca_xx = thickness %.
#              Full-span NACA 63-415 baseline: naca_series=6, naca_m=63, naca_p=4, naca_xx=15.
#
# Schema (in column order):
#   spanwise_pos       [m]     spanwise position z, root to tip
#   radial_pos         [m]     radial position r from rotor centre
#   norm_radial_pos    [-]     r / R_tip, 0 -> 1
#   norm_spanwise_pos  [-]     z / L,     0 -> 1
#   chord_dist         [m]     chord length c at this station
#   twist_dist         [deg]   structural built twist (washout) beta
#   naca_series        [-]     NACA family code (4, 5 or 6)
#   naca_m             [-]     NACA "m" digit(s)
#   naca_p             [-]     NACA "p" digit
#   naca_xx            [-]     NACA thickness in %
#   kappa0_x           [1/m]   reference curvature about x
#   kappa0_y           [1/m]   reference curvature about y
#   kappa0_z           [1/m]   reference twist about z
#
# units: m, m, -, -, m, deg, -, -, -, -, 1/m, 1/m, 1/m
  spanwise_pos     radial_pos  norm_radial_pos  norm_spanwise_pos      chord_dist      twist_dist  naca_series   naca_m   naca_p  naca_xx     kappa0_x     kappa0_y     kappa0_z
      5.995000     7.37000000     0.6228571429       0.6228571429     0.942649895     3.721144888            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.050000     7.42500000     0.6285714286       0.6285714286     0.935812281     3.650321517            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.105000     7.48000000     0.6342857143       0.6342857143     0.929039416     3.580203608            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.160000     7.53500000     0.6400000000       0.6400000000     0.922462049     3.512215696            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.215000     7.59000000     0.6457142857       0.6457142857     0.915884695     3.444227785            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.270000     7.64500000     0.6514285714       0.6514285714     0.909372283     3.376958248            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.325000     7.70000000     0.6571428571       0.6571428571     0.903034743     3.311623124            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.380000     7.75500000     0.6628571429       0.6628571429     0.896697203     3.246288000            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.435000     7.81000000     0.6685714286       0.6685714286     0.890426171     3.181681041            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.490000     7.86500000     0.6742857143       0.6742857143     0.884315781     3.118832821            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.545000     7.92000000     0.6800000000       0.6800000000     0.878205391     3.055984601            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.600000     7.97500000     0.6857142857       0.6857142857     0.872135674     2.993604848            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.655000     8.03000000     0.6914285714       0.6914285714     0.866154451     2.932244772            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.710000     8.08500000     0.6971428571       0.6971428571     0.860173229     2.870884695            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.765000     8.14000000     0.7028571429       0.7028571429     0.854278411     2.810467124            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.820000     8.19500000     0.7085714286       0.7085714286     0.848525645     2.751599128            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.875000     8.25000000     0.7142857143       0.7142857143     0.842772879     2.692731132            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.930000     8.30500000     0.7200000000       0.7200000000     0.837134031     2.635099832            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      6.985000     8.36000000     0.7257142857       0.7257142857     0.831624049     2.578867589            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.040000     8.41500000     0.7314285714       0.7314285714     0.826114066     2.522635347            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.095000     8.47000000     0.7371428571       0.7371428571     0.820706906     2.467544772            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.150000     8.52500000     0.7428571429       0.7428571429     0.815357716     2.413098060            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.205000     8.58000000     0.7485714286       0.7485714286     0.810008540     2.358651348            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.260000     8.63500000     0.7542857143       0.7542857143     0.804793385     2.305718341            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.315000     8.69000000     0.7600000000       0.7600000000     0.799586095     2.252874111            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.370000     8.74500000     0.7657142857       0.7657142857     0.794421623     2.200559588            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
